"文章編號","Word標題","內容有差異","原HTML字數","Word字數"
"8-11","錫呂瑪塔吉對西方醫學的看法","是","1331","1315"
"9-1","9. 靈(Spirit)，靈魂(Soul)，生死 9-1 靈; 靈魂; 輪穴及肉體","是","1138","1172"
"9-2","人可以分成四種(錫呂瑪塔吉談靈魂(之一))","是","1949","1972"
"9-3","死亡與誕生(錫呂瑪塔吉談靈魂(之二))","是","1996","2009"
"9-4","亡魂的附身(錫呂瑪塔吉談靈魂(之三))","是","1556","1568"
"9-5","催眠(錫呂瑪塔吉談靈魂(之四))","是","1311","1320"
"9-6","超感應能力(錫呂瑪塔吉談靈魂(之五))","是","1079","1085"
"9-7","抛媚眼(錫呂瑪塔吉談靈魂(之六))","是","766","769"
"9-8","假導師(錫呂瑪塔吉談靈魂(之七))","是","1455","1470"
"9-9","驅鬼(錫呂瑪塔吉談靈魂(之八))","是","1392","1400"
"9-10","對死亡的恐懼","是","1405","1419"
"10-1","吉祥(Auspiciousness)","是","1176","1183"
"10-2","一個清潔根輪及左脈的方法","否","871","903"
"10-3","明辨力與根輪(之一)","是","1069","1077"
"10-4","錫呂格涅沙和平衡(上)","是","830","829"
"10-5","錫呂格涅沙和平衡(下)","是","904","904"
"10-6","錫呂格涅沙( Shri Ganesha )","是","1100","1102"
"10-7","根輪(之一)","是","1644","1668"
"10-8","根輪(之二)","是","1487","1497"
"10-9","根輪(之三)","是","1455","1473"
"10-10","根輪(之四)","是","1821","1845"
"10-11","根輪(之五)","是","1138","1143"
"10-12","根輪(之六)","是","1392","1396"
"10-13","譚崔的歧路","是","1507","1516"
"10-14","純真與儀式主義","否","577","583"
"10-15","純真與正法","是","881","881"
"10-16","刻意去散發你的能量","是","1071","1071"
"10-17","純真與無思慮的靜觀","是","1075","1078"
"10-18","關於純真的種種","是","1587","1584"
"10-19","錫呂格涅沙和喜樂","是","1114","1112"
"10-20","錫呂格涅沙與昆達里尼","是","2136","2142"
"10-21","展現錫呂格涅沙的力量的靜坐方法","否","368","372"
"11-1","導師原理與創造力","是","827","830"
"11-2","大象的尾巴(上)","是","858","864"
"11-3","大象的尾巴(下)","是","495","496"
"11-4","明辨力與腹輪的創造力(之二)","是","1269","1277"
"12-1","霎哈嘉瑜伽的導師原理","是","913","929"
"12-2","拉希什米(Lakshmi )和給予","否","648","651"
"12-3","拉希什米(Lakshmi) 與保護","是","378","377"
"12-4","明辨力與臍輪(Nabhi Chakra)(之三)","是","1679","1689"
"12-5","導師與自尊及寧靜(之二)","是","1526","1532"
"12-6","錫呂毗濕奴與正法及平衡","否","674","675"
"12-7","從自我覺醒到成為導師","是","1188","1191"
"12-8","穆罕默德就是摩西","是","632","642"
"12-9","愚笨的妻子才會宰制丈夫","是","1890","1904"
"12-10","錫呂拉希什米與金錢","是","1055","1056"
"12-11","滿足感","是","1203","1209"
"12-12","對霎哈嘉新郎的談話","是","1684","1685"
"12-13","對霎哈嘉新娘的談話","是","2441","2443"
"12-14","導師的狀態","是","1126","1129"
"12-15","最偉大的導師","否","284","285"
"12-16","我退休了，合格的瑜伽士走出去成為一個導師","是","6089","6116"
"13-1","一個有關慈悲 (Compassion)的故事","是","870","951"
"13-2","如何表達同情心及慈悲關愛之心","是","1048","1056"
"13-3","愛(Love) 與吉祥(Auspicious)","否","407","407"
"13-4","明辨力與心輪(之四)","是","770","773"
"13-5","心的四條經脈，神的知識，涅盤(上)","是","1567","1579"
"13-6","心的四條經脈，神的知識，涅盤(下)","是","1229","1240"
"13-7","覺醒的愛與愛的力量","是","1502","1506"
"13-8","對家人的愛","是","1355","1359"
"13-9","慈悲 (Compassion)","是","630","641"
"14-1","一個有關完全抽離、不沾染 (detachment) 的故事","是","1010","1070"
"14-2","錫呂瑪塔吉談 Vishnumaya 及左喉輪","是","1469","1505"
"14-3","錫呂瑪塔吉談如何改善左喉輪","否","616","622"
"14-4","霎哈嘉瑜伽的政治學觀點","是","883","882"
"14-5","一齣戲( Leela )","是","629","631"
"14-6","明辨力與喉輪(之五)","是","1029","1033"
"14-7","你有一開口就說""不""的習慣嗎？","是","782","790"
"14-8","宇宙大我(一)","是","768","768"
"14-9","錫呂克里希納與正法及懲罰","是","959","959"
"14-10","錫呂克里希納與無執","是","1202","1206"
"14-11","從錫呂克里希納談聰明與智慧","是","1670","1684"
"14-12","拋棄你的特殊感","是","1018","1017"
"14-13","從自由與智慧談到美國","是","1638","1643"
"14-14","喉輪與眼睛、舌頭、喉嚨","是","1477","1480"
"14-15","宇宙大我(二)","是","1295","1299"
"14-16","享受(Joy) 與快樂(Happiness)","是","1334","1350"
"15-1","自由意志(Free Will) 與真正的自由(Freedom)","是","420","418"
"15-2","從 ""這是我的"" 到 ""物質主義"" 的陷阱","否","585","593"
"15-3","基督與復活(Christ and Resurrection)","是","499","498"
"15-4","自我 ( Ego )","是","814","821"
"15-5","照鏡子、自戀與真我","否","409","414"
"15-6","順服(上)------捨棄制約","是","1135","1146"
"15-7","順服(下)------放下自我","是","1544","1547"
"15-8","耶穌基督(一)","是","1746","1763"
"15-9","耶穌基督(二)","是","1237","1242"
"15-10","一個制約(conditioning)的例子","是","486","484"
"15-11","額輪的問題","是","920","918"
"15-12","錫呂瑪塔吉談自我","是","1092","1093"
"15-13","如何對付自我(Ego)及非我(Superego)","是","976","986"
"15-14","暴力與自我","否","693","698"
"15-15","明辨力與額輪(之六)","是","1641","1631"
"16-1","16. 集體，領導人，霎哈嘉的問題 16-1 不要去嘗試新的方法","否","527","569"
"16-2","不要在集體之內形成小團體","是","396","400"
"16-3","蓋起你的耳朶，也遠離講你的導師壞話的那個人","是","1631","1673"
"16-4","歷史上誤闖霎哈嘉的三隻狐狸 (非譯文)","是","2477","2498"
"16-5","從保羅、基督教談到不要詮釋我所說的","是","1407","1419"
"16-6","偏離摩訶拉希什米原理的幾種人","是","1082","1091"
"16-7","自我膨脹的大瑜伽士","是","1128","1147"
"16-8","儍瓜還是瘋子","是","871","876"
"16-9","在霎哈嘉你會碰到各式各樣的人","否","756","772"
"16-10","霎哈加練習者的問題","是","1241","1227"
"17-1","17. 新人，教學，推廣霎哈嘉 17-1 如何帶領新人","否","426","426"
"17-2","釐清提升靈量及靈體保護的一些不同的作法 (非譯文)","是","2634","2706"
"17-3","承擔你的力量","是","1159","1169"
"17-4","來到霎哈嘉的人有三種","是","850","860"
"17-5","如何帶領來上課的新人","是","1101","1107"
"17-6","承擔責任的兩個要點","是","876","881"
"17-7","求道者優先","是","423","424"
"17-8","信心","是","1296","1301"
"17-9","發揮右脈的力量全力來推廣霎哈嘉","是","2048","2057"
"17-10","鬥爭期的祝福","是","1029","1035"
"17-11","第 21 個頂輪紀念日的宣言","是","1926","1939"
"17-12","超越的生命------對求道者的公開演講","是","3007","3015"
"17-13","錫呂瑪塔吉的計畫","是","578","577"
"17-14","母親給俄國科學家自覺","是","1094","1121"
"18-1","當代宗教的問題","是","853","855"
"19-1","為什麼有些神祇不降世","否","510","544"
"19-2","不要糟蹋未來的聖人","是","1000","1004"
"19-3","""錫呂瑪塔吉說"" 可以分成兩種 (非譯文)","是","2687","2746"
"19-4","攻擊與謙和","是","589","592"
"19-5","輪穴與神經叢（Chakras & Plexuses）","是","3669","3943"
"19-6","只有自覺的靈才適合土葬","是","1339","1355"
"19-7","闍拿迦的一個故事","是","1143","1149"
"19-8","一些練習者的發問","是","965","974"
"19-9","金錢的價值","是","620","622"
"19-10","想坐在前面的無明","否","421","427"
"19-11","你捨棄了什麼？","是","829","842"
"19-12","瘋子和婆羅門的顫抖","是","913","933"
"19-13","在霎哈嘉的殿堂，你的願望不應是：請給我五毛錢我是你們的母親，所以你們有任何問題，當然都可以告訴我，(請求我幫忙)，但是有時候，人們訴說他們問題的方式，會讓我覺得他們的層次怎麼這麼低！他們顯露出來的心靈層次是如此的低，他們希望我幫他們什麼呢？打個比喻，假如你去見某個國王，然後對國王請求說：""請給我五毛錢""，那麼國王會怎麼想呢？ ""這個人出了什麼問題？他連他可以(對我)請求什麼都不知道！""。","是","555","384"
"19-14","創世紀","是","982","996"
"19-15","耶穌將水變成酒？","是","1671","1694"
"19-16","不要過度限制自覺的小孩","是","1270","1272"
"19-17","一些有趣的問答","是","692","692"
